sha,date,artifact,bytes
a1b2c3d4e5f60000000000000000000000000000,2026-08-06T13:24:55Z,kairos-hadron-core-amd64-generic,851443712
a1b2c3d4e5f60000000000000000000000000000,2026-08-06T13:24:55Z,kairos-hadron-standard-amd64-generic-k3s,948961280
b2c3d4e5f6a10000000000000000000000000000,2026-08-06T13:24:57Z,kairos-hadron-core-amd64-generic,853540864
b2c3d4e5f6a10000000000000000000000000000,2026-08-06T13:24:57Z,kairos-hadron-standard-amd64-generic-k3s,947912704
c3d4e5f6a1b20000000000000000000000000000,2026-08-06T13:25:00Z,kairos-hadron-core-amd64-generic,899678208
c3d4e5f6a1b20000000000000000000000000000,2026-08-06T13:25:00Z,kairos-hadron-standard-amd64-generic-k3s,987758592
d4e5f6a1b2c30000000000000000000000000000,2026-08-06T13:25:02Z,kairos-hadron-core-amd64-generic,902823936
d4e5f6a1b2c30000000000000000000000000000,2026-08-06T13:25:02Z,kairos-hadron-standard-amd64-generic-k3s,994050048
e5f6a1b2c3d40000000000000000000000000000,2026-08-06T13:25:03Z,kairos-hadron-core-amd64-generic,904921088
e5f6a1b2c3d40000000000000000000000000000,2026-08-06T13:25:03Z,kairos-hadron-standard-amd64-generic-k3s,993001472
f6a1b2c3d4e50000000000000000000000000000,2026-08-06T13:25:05Z,kairos-hadron-core-amd64-generic,912261120
f6a1b2c3d4e50000000000000000000000000000,2026-08-06T13:25:05Z,kairos-hadron-standard-amd64-generic-k3s,997195776
